team,team_name,year,total,home,away,week,weekly_attendance
Arizona,Cardinals,2000,893926,387475,506451,1,77434.0
Arizona,Cardinals,2000,893926,387475,506451,2,66009.0
Arizona,Cardinals,2000,893926,387475,506451,3,
Arizona,Cardinals,2000,893926,387475,506451,4,71801.0
Arizona,Cardinals,2000,893926,387475,506451,5,66985.0
Arizona,Cardinals,2000,893926,387475,506451,6,44296.0
Arizona,Cardinals,2000,893926,387475,506451,7,38293.0
Arizona,Cardinals,2000,893926,387475,506451,8,62981.0
Arizona,Cardinals,2000,893926,387475,506451,9,35286.0
Arizona,Cardinals,2000,893926,387475,506451,10,52244.0
Arizona,Cardinals,2000,893926,387475,506451,11,64223.0
Arizona,Cardinals,2000,893926,387475,506451,12,65356.0
Arizona,Cardinals,2000,893926,387475,506451,13,42094.0
Arizona,Cardinals,2000,893926,387475,506451,14,50289.0
Arizona,Cardinals,2000,893926,387475,506451,15,53472.0
Arizona,Cardinals,2000,893926,387475,506451,16,37452.0
Arizona,Cardinals,2000,893926,387475,506451,17,65711.0
Atlanta,Falcons,2000,964579,422814,541765,1,54626.0
Atlanta,Falcons,2000,964579,422814,541765,2,75466.0
Atlanta,Falcons,2000,964579,422814,541765,3,73025.0
Atlanta,Falcons,2000,964579,422814,541765,4,58761.0
Atlanta,Falcons,2000,964579,422814,541765,5,65424.0
Atlanta,Falcons,2000,964579,422814,541765,6,50947.0
Atlanta,Falcons,2000,964579,422814,541765,7,66019.0
Atlanta,Falcons,2000,964579,422814,541765,8,56508.0
Atlanta,Falcons,2000,964579,422814,541765,9,46178.0
Atlanta,Falcons,2000,964579,422814,541765,10,70097.0
Atlanta,Falcons,2000,964579,422814,541765,11,74309.0
Atlanta,Falcons,2000,964579,422814,541765,12,67447.0
Atlanta,Falcons,2000,964579,422814,541765,13,55175.0
Atlanta,Falcons,2000,964579,422814,541765,14,44680.0
Atlanta,Falcons,2000,964579,422814,541765,15,
Atlanta,Falcons,2000,964579,422814,541765,16,64900.0
Atlanta,Falcons,2000,964579,422814,541765,17,41017.0
Baltimore,Ravens,2000,1062373,551695,510678,1,55049.0
Baltimore,Ravens,2000,1062373,551695,510678,2,68843.0
Baltimore,Ravens,2000,1062373,551695,510678,3,73464.0
Baltimore,Ravens,2000,1062373,551695,510678,4,68481.0
Baltimore,Ravens,2000,1062373,551695,510678,5,73018.0
Baltimore,Ravens,2000,1062373,551695,510678,6,65194.0
Baltimore,Ravens,2000,1062373,551695,510678,7,83252.0
Baltimore,Ravens,2000,1062373,551695,510678,8,69200.0
Baltimore,Ravens,2000,1062373,551695,510678,9,69405.0
Baltimore,Ravens,2000,1062373,551695,510678,10,54759.0
Baltimore,Ravens,2000,1062373,551695,510678,11,68490.0
Baltimore,Ravens,2000,1062373,551695,510678,12,69416.0
